word,count,per_1000_tokens,event_count
kita,4207,37.239,49
yang,3733,33.0433,49
saya,2801,24.7935,48
dan,2358,20.8722,49
ini,1719,15.216,48
di,1561,13.8175,48
tidak,1245,11.0203,46
itu,1202,10.6397,44
indonesia,1170,10.3565,48
ya,1080,9.5598,37
saudara-saudara,876,7.7541,44
untuk,872,7.7187,49
ada,866,7.6655,44
rakyat,820,7.2584,45
dari,815,7.2141,46
akan,788,6.9751,44
harus,740,6.5502,45
dengan,730,6.4617,47
saudara,628,5.5589,43
kalau,615,5.4438,39
sudah,614,5.4349,41
negara,603,5.3376,45
bangsa,592,5.2402,47
bisa,592,5.2402,40
tahun,590,5.2225,45
adalah,581,5.1428,46
juga,553,4.895,45
tapi,550,4.8684,42
semua,536,4.7445,47
ee,530,4.6914,36
jadi,520,4.6029,41
enggak,518,4.5852,34
dalam,468,4.1426,45
karena,438,3.877,45
kepada,393,3.4787,42
para,390,3.4522,41
ke,389,3.4433,43
ketua,387,3.4256,32
presiden,380,3.3636,46
menteri,376,3.3282,41
besar,364,3.222,45
hari,362,3.2043,44
sekalian,354,3.1335,44
sekarang,352,3.1158,42
banyak,351,3.1069,42
kasih,351,3.1069,46
bahwa,331,2.9299,44
mereka,318,2.8148,37
apa,311,2.7529,34
oleh,308,2.7263,43
mau,303,2.6821,36
terima,299,2.6467,45
kan,294,2.6024,32
baik,292,2.5847,43
pak,288,2.5493,30
lagi,288,2.5493,41
lebih,285,2.5227,38
seluruh,284,2.5139,43
republik,273,2.4165,41
hadir,270,2.39,40
satu,268,2.3722,41
sama,264,2.3368,39
sebagai,264,2.3368,44
sangat,259,2.2926,41
orang,244,2.1598,34
atas,244,2.1598,43
punya,243,2.151,36
telah,234,2.0713,35
dia,232,2.0536,29
dunia,229,2.027,39
boleh,228,2.0182,39
bagi,223,1.9739,44
hanya,216,1.912,41
mungkin,214,1.8943,39
bukan,211,1.8677,37
masih,207,1.8323,39
wakil,206,1.8234,33
pemerintah,206,1.8234,37
ingin,205,1.8146,39
umum,200,1.7703,26
dapat,190,1.6818,42
nanti,188,1.6641,33
ekonomi,188,1.6641,35
atau,185,1.6376,37
benar,184,1.6287,36
hormati,183,1.6199,38
luar,177,1.5667,35
kami,177,1.5667,25
sampai,176,1.5579,34
terus,171,1.5136,38
selalu,169,1.4959,40
menjadi,168,1.4871,39
iya,161,1.4251,33
pada,161,1.4251,40
waktu,158,1.3986,33
jangan,157,1.3897,32
mana,157,1.3897,37
tadi,157,1.3897,36
lain,157,1.3897,38
tni,155,1.372,32
juta,155,1.372,27
kali,154,1.3632,32
partai,148,1.31,17
kerja,147,1.3012,33
berapa,146,1.2923,26
kepala,144,1.2746,32
bapak,143,1.2658,29
lihat,141,1.2481,31
sekolah,138,1.2215,20
baru,136,1.2038,35
bekerja,136,1.2038,33
sendiri,134,1.1861,30
paling,134,1.1861,34
kira,128,1.133,34
salam,128,1.133,42
negeri,127,1.1242,33
triliun,125,1.1065,16
prabowo,124,1.0976,37
bersama,123,1.0888,32
pertama,121,1.0711,34
tiap,119,1.0533,26
pangan,117,1.0356,27
belum,117,1.0356,29
salah,116,1.0268,34
suatu,115,1.0179,32
rumah,115,1.0179,19
hidup,113,1.0002,34
ri,113,1.0002,23
kuat,112,0.9914,34
kekayaan,112,0.9914,27
pimpinan,111,0.9825,32
memang,111,0.9825,33
penting,111,0.9825,35
masalah,111,0.9825,27
maha,110,0.9737,37
bulan,109,0.9648,24
nasional,109,0.9648,34
setiap,106,0.9383,24
sini,103,0.9117,36
masa,103,0.9117,30
dpr,103,0.9117,19
perlu,102,0.9029,30
minta,102,0.9029,31
saja,102,0.9029,30
desa,102,0.9029,20
anak-anak,100,0.8852,26
depan,99,0.8763,38
sejarah,99,0.8763,24
tanpa,99,0.8763,33
sekali,98,0.8675,37
air,98,0.8675,31
warahmatullahi,98,0.8675,44
sejahtera,98,0.8675,38
wabarakatuh,97,0.8586,44
merdeka,97,0.8586,27
politik,96,0.8498,25
mulai,96,0.8498,26
memberi,94,0.8321,34
tahu,94,0.8321,33
anak,93,0.8232,29
bupati,92,0.8144,14
ibu,91,0.8055,25
pemimpin,91,0.8055,24
makan,91,0.8055,25
keras,91,0.8055,30
selamat,90,0.7967,38
antara,90,0.7967,22
petani,90,0.7967,17
daerah,89,0.7878,27
anggota,89,0.7878,29
mengerti,88,0.7789,26
beliau,88,0.7789,18
merah,88,0.7789,33
pakai,88,0.7789,21
begitu,87,0.7701,30
secara,87,0.7701,30
tuhan,87,0.7701,34
koperasi,87,0.7701,15
bagaimana,86,0.7612,30
datang,85,0.7524,31
dulu,85,0.7524,28
memiliki,85,0.7524,31
aku,85,0.7524,23
bicara,84,0.7435,26
kau,84,0.7435,24
cukup,84,0.7435,29
om,84,0.7435,34
jenderal,84,0.7435,24
badan,84,0.7435,28
putih,83,0.7347,32
pembangunan,83,0.7347,26
terlalu,82,0.7258,26
pun,82,0.7258,33
berada,82,0.7258,32
berhasil,82,0.7258,24
perang,82,0.7258,20
kesehatan,81,0.717,35
biasa,80,0.7081,26
kecil,78,0.6904,32
sehingga,78,0.6904,30
serta,77,0.6816,23
undang-undang,77,0.6816,14
kurang,77,0.6816,23
jalan,76,0.6727,27
ulama,76,0.6727,12
menjaga,76,0.6727,22
h,76,0.6727,15
kalian,76,0.6727,21
bumn,76,0.6727,22
energi,76,0.6727,28
aja,75,0.6639,23
harga,75,0.6639,22
jawa,75,0.6639,20
eh,74,0.655,25
semakin,74,0.655,25
uang,74,0.655,25
hampir,74,0.655,26
masyarakat,74,0.655,23
beserta,73,0.6462,27
keluarga,73,0.6462,23
pernah,73,0.6462,22
k,72,0.6373,18
gubernur,72,0.6373,22
bikin,72,0.6373,23
naik,72,0.6373,22
nelayan,71,0.6285,13
percaya,70,0.6196,31
menyampaikan,70,0.6196,28
kekuatan,70,0.6196,28
kabinet,70,0.6196,34
berani,70,0.6196,31
timur,69,0.6108,20
melihat,69,0.6108,26
penuh,69,0.6108,25
program,69,0.6108,18
lama,69,0.6108,27
dewan,68,0.6019,23
pemerintahan,68,0.6019,20
nah,68,0.6019,20
diri,67,0.5931,28
terbaik,67,0.5931,24
sedang,67,0.5931,24
segala,67,0.5931,35
demokrat,67,0.5931,5
dua,67,0.5931,26
masuk,67,0.5931,21
menghadapi,66,0.5842,22
tengah,66,0.5842,30
belajar,65,0.5754,23
prof,65,0.5754,27
selama,65,0.5754,26
diberikan,65,0.5754,33
kota,64,0.5665,17
kalah,64,0.5665,21
agung,64,0.5665,17
kenapa,64,0.5665,21
subianto,64,0.5665,30
tempat,64,0.5665,27
membangun,64,0.5665,19
kadang-kadang,63,0.5577,25
saat,63,0.5577,24
tetap,63,0.5577,16
oh,62,0.5488,27
polisi,62,0.5488,18
hukum,61,0.54,20
santi,61,0.54,23
bahkan,61,0.54,24
berarti,61,0.54,23
kembali,60,0.5311,25
diberi,60,0.5311,25
yakin,60,0.5311,29
hah,60,0.5311,20
bilang,59,0.5222,19
keadaan,59,0.5222,25
saudari,59,0.5222,23
miliar,59,0.5222,16
dolar,59,0.5222,13
kemudian,58,0.5134,21
mengatakan,58,0.5134,23
kuasa,58,0.5134,35
sampaikan,58,0.5134,25
langsung,58,0.5134,23
lalu,58,0.5134,27
butuh,58,0.5134,20
apbn,58,0.5134,6
demikian,57,0.5045,28
pidato,56,0.4957,16
kepentingan,56,0.4957,22
oke,56,0.4957,16
mbg,56,0.4957,13
semuanya,55,0.4868,26
kebajikan,55,0.4868,33
gua,55,0.4868,5
hati,54,0.478,27
seperti,54,0.478,29
muhammad,54,0.478,26
marilah,54,0.478,33
keuangan,54,0.478,16
persatuan,54,0.478,17
acara,54,0.478,25
beberapa,53,0.4691,26
keluar,53,0.4691,20
siap,53,0.4691,19
shalom,53,0.4691,34
namo,53,0.4691,34
polri,53,0.4691,11
tinggi,53,0.4691,22
tentunya,53,0.4691,25
pendidikan,53,0.4691,18
dasar,53,0.4691,16
agar,53,0.4691,14
nu,52,0.4603,8
merasa,52,0.4603,18
tentara,52,0.4603,17
panglima,52,0.4603,25
kapolri,52,0.4603,22
keadilan,52,0.4603,17
manusia,52,0.4603,27
muda,52,0.4603,16
semangat,52,0.4603,27
mencapai,52,0.4603,17
kepolisian,52,0.4603,12
kesulitan,52,0.4603,20
daya,52,0.4603,19
provinsi,51,0.4514,21
tentang,51,0.4514,14
ternyata,51,0.4514,16
anggaran,51,0.4514,7
perbaiki,51,0.4514,15
maju,51,0.4514,18
situ,51,0.4514,19
kabupaten,50,0.4426,15
kok,50,0.4426,20
kehormatan,50,0.4426,26
alam,50,0.4426,29
bersyukur,50,0.4426,27
pasar,50,0.4426,8
bahasa,50,0.4426,15
terhadap,49,0.4337,17
hasil,49,0.4337,18
perusahaan,49,0.4337,18
perjuangan,48,0.4249,19
cari,48,0.4249,22
terjadi,48,0.4249,22
selesai,48,0.4249,27
investasi,48,0.4249,22
saling,48,0.4249,16
sumber,48,0.4249,21
mampu,48,0.4249,20
sebenarnya,47,0.416,19
ratusan,47,0.416,22
tim,47,0.416,15
kaya,47,0.416,21
mana-mana,47,0.416,22
bismillahirrahmanirrahim,47,0.416,32
lembaga,47,0.416,22
demokrasi,47,0.416,12
menerima,47,0.416,13
tetapi,47,0.416,19
bangun,47,0.416,21
buddhaya,47,0.416,33
miskin,47,0.416,19
artinya,47,0.416,18
pintar,47,0.416,17
sebut,47,0.416,21
bagus,47,0.416,21
tiga,47,0.416,17
turun,46,0.4072,18
sekian,46,0.4072,20
wasalamualaikum,46,0.4072,35
teknologi,46,0.4072,16
tersebut,46,0.4072,19
laporan,46,0.4072,18
bangkit,46,0.4072,18
tanya,46,0.4072,18
ingat,45,0.3983,21
koordinator,45,0.3983,25
kebaikan,45,0.3983,25
tangan,45,0.3983,17
tanah,45,0.3983,20
sekretaris,45,0.3983,19
kebijakan,45,0.3983,7
agama,45,0.3983,23
paham,45,0.3983,15
perwakilan,44,0.3895,22
ikut,44,0.3895,23
tugas,44,0.3895,18
katakan,44,0.3895,21
habis,44,0.3895,17
bawah,44,0.3895,23
asalamualaikum,44,0.3895,40
melalui,44,0.3895,19
jawab,44,0.3895,18
memperkuat,44,0.3895,19
pertanian,43,0.3806,17
beras,43,0.3806,14
barat,43,0.3806,19
kemerdekaan,43,0.3806,19
empat,43,0.3806,18
takut,43,0.3806,16
berdiri,43,0.3806,22
menurut,43,0.3806,19
salve,43,0.3806,31
bidang,43,0.3806,23
prestasi,43,0.3806,16
coba,43,0.3806,18
nama,42,0.3718,22
mahkamah,42,0.3718,8
allah,42,0.3718,27
danantara,42,0.3718,14
pancasila,42,0.3718,8
suka,41,0.3629,12
membantu,41,0.3629,21
berjuang,41,0.3629,21
supaya,41,0.3629,18
ahmad,41,0.3629,22
usaha,41,0.3629,21
betul,41,0.3629,10
gitu,40,0.3541,19
terhormat,40,0.3541,14
contoh,40,0.3541,17
komunikasi,40,0.3541,9
kesempatan,40,0.3541,17
seorang,39,0.3452,16
majelis,39,0.3452,16
korupsi,39,0.3452,19
cita-cita,39,0.3452,16
ucapkan,39,0.3452,25
hal,39,0.3452,20
walikota,39,0.3452,12
pasti,39,0.3452,18
akhir,39,0.3452,13
pengusaha,39,0.3452,14
apalagi,38,0.3364,23
kehidupan,38,0.3364,20
aman,38,0.3364,20
puji,38,0.3364,32
kopi,38,0.3364,13
yaitu,38,0.3364,21
nilai,38,0.3364,16
bangga,38,0.3364,15
kelapa,38,0.3364,14
pekerjaan,38,0.3364,16
apa-apa,37,0.3275,21
kemiskinan,37,0.3275,19
rasa,37,0.3275,22
swastiastu,37,0.3275,31
media,37,0.3275,26
pusat,37,0.3275,14
pt,37,0.3275,11
cepat,37,0.3275,14
termasuk,37,0.3275,17
tambah,37,0.3275,13
walaupun,37,0.3275,20
bersatu,37,0.3275,16
sawit,37,0.3275,14
susah,37,0.3275,18
membela,36,0.3187,19
khusus,36,0.3187,16
lemah,36,0.3187,21
mari,36,0.3187,17
nih,36,0.3187,16
nomor,36,0.3187,13
maaf,36,0.3187,15
sistem,36,0.3187,13
membuat,36,0.3187,17
mohon,36,0.3187,17
menang,36,0.3187,15
sakit,36,0.3187,13
menko,36,0.3187,14
sebetulnya,35,0.3098,17
agak,35,0.3098,19
kemarin,35,0.3098,21
benar-benar,35,0.3098,19
terutama,35,0.3098,22
insan,35,0.3098,29
wa,35,0.3098,27
kekurangan,35,0.3098,13
muliakan,35,0.3098,9
elit,35,0.3098,8
cinta,35,0.3098,19
bayangkan,35,0.3098,14
sebelum,35,0.3098,14
milik,35,0.3098,18
apakah,35,0.3098,15
pesantren,35,0.3098,8
target,35,0.3098,11
ruang,35,0.3098,14
hebat,35,0.3098,17
berbeda,35,0.3098,12
kadin,35,0.3098,5
buruh,35,0.3098,10
dpd,35,0.3098,8
loh,34,0.301,17
hadirin,34,0.301,22
terbesar,34,0.301,19
bersih,34,0.301,17
syukur,34,0.301,30
kehadirat,34,0.301,31
bergizi,34,0.301,14
industri,34,0.301,12
perumahan,34,0.301,10
umat,33,0.2921,23
hormat,33,0.2921,20
sadar,33,0.2921,16
cara,33,0.2921,18
jam,33,0.2921,15
karunia,33,0.2921,27
tuh,33,0.2921,13
tantangan,33,0.2921,19
inilah,33,0.2921,19
namanya,33,0.2921,20
tinggal,33,0.2921,16
the,33,0.2921,12
pupuk,33,0.2921,8
berjalan,33,0.2921,13
apapun,33,0.2921,18
proyek,33,0.2921,6
kelas,33,0.2921,9
ibu-ibu,32,0.2833,15
untung,32,0.2833,12
guru,32,0.2833,16
undangan,32,0.2833,26
subhanahu,32,0.2833,27
taala,32,0.2833,27
unsur,32,0.2833,15
siapa,32,0.2833,16
utama,32,0.2833,16
sesuai,32,0.2833,18
puluhan,32,0.2833,16
manfaat,32,0.2833,14
cek,32,0.2833,14
menghasilkan,32,0.2833,15
akhirnya,32,0.2833,16
perlindungan,32,0.2833,10
ketika,32,0.2833,7
pbnu,32,0.2833,4
sebagian,31,0.2744,17
selesaikan,31,0.2744,16
udah,31,0.2744,11
kedua,31,0.2744,17
berbagai,31,0.2744,15
angka,31,0.2744,11
minimal,31,0.2744,12
lapangan,31,0.2744,13
izin,31,0.2744,16
sosial,31,0.2744,10
hakim,31,0.2744,8
per,31,0.2744,6
usah,30,0.2656,13
setelah,30,0.2656,19
panjang,30,0.2656,17
jaksa,30,0.2656,13
merasakan,30,0.2656,17
bertakwa,30,0.2656,29
makmur,30,0.2656,17
keempat,30,0.2656,17
sedikit,30,0.2656,14
ah,30,0.2656,17
pihak,30,0.2656,15
sidang,30,0.2656,6
sesuatu,30,0.2656,15
malam,30,0.2656,14
beri,30,0.2656,14
gaji,30,0.2656,11
sebagainya,30,0.2656,13
adil,30,0.2656,11
sehat,30,0.2656,12
ambil,29,0.2567,18
wartawan,29,0.2567,12
mendapat,29,0.2567,16
i,29,0.2567,17
jelas,29,0.2567,17
transformasi,29,0.2567,12
berbuat,29,0.2567,18
komisi,29,0.2567,10
angkatan,29,0.2567,14
berharap,29,0.2567,17
menjalankan,29,0.2567,13
profesor,29,0.2567,16
buktikan,29,0.2567,19
data,29,0.2567,9
mengurangi,29,0.2567,20
sampah,29,0.2567,4
bahlil,29,0.2567,12
subsidi,29,0.2567,7
juli,29,0.2567,12
mendukung,28,0.2478,18
harapan,28,0.2478,14
waalaikumsalam,28,0.2478,24
menuju,28,0.2478,14
melindungi,28,0.2478,15
pimpin,28,0.2478,16
segera,28,0.2478,12
kemakmuran,28,0.2478,15
tanggal,28,0.2478,12
jauh,28,0.2478,11
bagian,28,0.2478,13
kelompok,28,0.2478,13
orang-orang,28,0.2478,16
ekspor,28,0.2478,10
api,28,0.2478,7
abdul,28,0.2478,13
mencari,28,0.2478,14
listrik,28,0.2478,7
perjalanan,27,0.239,14
daripada,27,0.239,18
sekedar,27,0.239,12
bantuan,27,0.239,9
henti-hentinya,27,0.239,27
kepadanyaalah,27,0.239,17
ribuan,27,0.239,18
strategis,27,0.239,13
budaya,27,0.239,13
lu,27,0.239,14
tokoh-tokoh,27,0.239,14
ngomong,27,0.239,9
tutup,27,0.239,12
gratis,27,0.239,12
gue,27,0.239,11
siang,27,0.239,14
mobil,27,0.239,8
pelayanan,27,0.239,6
sering,26,0.2301,16
penghargaan,26,0.2301,15
kiai,26,0.2301,6
menteri-menteri,26,0.2301,13
silakan,26,0.2301,16
memperbaiki,26,0.2301,15
negara-negara,26,0.2301,15
sebuah,26,0.2301,11
banggakan,26,0.2301,17
pertahanan,26,0.2301,11
warga,26,0.2301,14
dukungan,26,0.2301,12
tenaga,26,0.2301,11
sesungguhnya,26,0.2301,12
pejabat,26,0.2301,16
ulang,26,0.2301,8
bank,26,0.2301,7
ketemu,25,0.2213,13
produksi,25,0.2213,13
dikatakan,25,0.2213,14
jakarta,25,0.2213,16
mulia,25,0.2213,15
mandat,25,0.2213,13
islam,25,0.2213,19
memanjatkan,25,0.2213,25
nafas,25,0.2213,25
berkumpul,25,0.2213,23
meningkatkan,25,0.2213,13
dana,25,0.2213,11
publik,25,0.2213,6
masing-masing,25,0.2213,17
ribu,25,0.2213,15
disebut,25,0.2213,17
justru,25,0.2213,11
utara,25,0.2213,11
kawasan,25,0.2213,11
semoga,25,0.2213,15
e,25,0.2213,16
bali,25,0.2213,6
disampaikan,24,0.2124,13
tujuan,24,0.2124,13
diambil,24,0.2124,13
berkenan,24,0.2124,15
anda,24,0.2124,16
itulah,24,0.2124,13
pagi,24,0.2124,16
pendiri-pendiri,24,0.2124,17
kebangkitan,24,0.2124,13
kedaulatan,24,0.2124,11
tata,24,0.2124,14
rekan-rekan,24,0.2124,22
perintahkan,24,0.2124,10
pks,24,0.2124,2
mengalami,24,0.2124,11
layak,24,0.2124,14
membutuhkan,24,0.2124,9
peringatan,24,0.2124,11
sebesar,24,0.2124,9
kamu,24,0.2124,10
dengar,24,0.2124,15
kementerian,24,0.2124,11
nyata,24,0.2124,12
perdamaian,24,0.2124,10
pekerja,24,0.2124,9
arah,24,0.2124,13
gus,24,0.2124,7
dukung,23,0.2036,11
keyakinan,23,0.2036,11
sekitar,23,0.2036,12
membawa,23,0.2036,12
keberanian,23,0.2036,7
kesejahteraan,23,0.2036,15
staf,23,0.2036,16
berdoa,23,0.2036,20
lakukan,23,0.2036,9
berusaha,23,0.2036,15
kepercayaan,23,0.2036,14
pers,23,0.2036,21
direktur,23,0.2036,9
dilakukan,23,0.2036,7
lima,23,0.2036,13
mpr,23,0.2036,9
sebentar,23,0.2036,14
eropa,23,0.2036,12
kaget,23,0.2036,16
padahal,23,0.2036,15
bumi,23,0.2036,15
rupiah,23,0.2036,9
bung,23,0.2036,8
tanda,23,0.2036,12
capai,23,0.2036,13
penghasilan,23,0.2036,14
resmi,23,0.2036,14
pondok,23,0.2036,7
kedamaian,23,0.2036,23
rendah,23,0.2036,14
kondisi,23,0.2036,12
agus,23,0.2036,15
kereta,23,0.2036,3
pertumbuhan,23,0.2036,8
buatan,23,0.2036,5
tadinya,22,0.1947,11
senang,22,0.1947,13
insyaallah,22,0.1947,12
melakukan,22,0.1947,10
peradaban,22,0.1947,14
jajaran,22,0.1947,17
mengambil,22,0.1947,13
langkah,22,0.1947,12
koreksi,22,0.1947,10
r,22,0.1947,9
buka,22,0.1947,14
telur,22,0.1947,10
ayam,22,0.1947,5
alat,22,0.1947,9
minyak,22,0.1947,10
setuju,22,0.1947,9
nusantara,22,0.1947,12
aset,22,0.1947,8
melaksanakan,22,0.1947,14
impor,22,0.1947,12
india,22,0.1947,11
singapura,22,0.1947,11
is,22,0.1947,9
selanjutnya,22,0.1947,13
enak,22,0.1947,13
sekaligus,22,0.1947,12
gw,22,0.1947,5
akal,22,0.1947,10
efisien,22,0.1947,14
modal,22,0.1947,6
b50,22,0.1947,6
dibantu,21,0.1859,12
ragu-ragu,21,0.1859,13
mengajak,21,0.1859,11
turki,21,0.1859,1
kepemimpinan,21,0.1859,11
sigit,21,0.1859,16
pertolongan,21,0.1859,19
keamanan,21,0.1859,11
mengelola,21,0.1859,10
tertinggi,21,0.1859,10
jaga,21,0.1859,14
swasta,21,0.1859,13
hilirisasi,21,0.1859,12
sejak,21,0.1859,10
kelihatan,21,0.1859,11
alhamdulillah,21,0.1859,15
dokter,21,0.1859,6
panen,21,0.1859,7
modern,21,0.1859,12
kasihan,21,0.1859,11
teruskan,21,0.1859,10
berkah,21,0.1859,20
terakhir,21,0.1859,13
amerika,21,0.1859,11
suku,21,0.1859,10
asing,21,0.1859,12
dijual,21,0.1859,9
tani,21,0.1859,6
puskesmas,21,0.1859,5
emas,21,0.1859,9
selain,21,0.1859,10
komoditas,21,0.1859,8
kemampuan,20,0.177,11
mata,20,0.177,13
sangat-sangat,20,0.177,12
sekolah-sekolah,20,0.177,11
lapar,20,0.177,11
rusak,20,0.177,10
gibran,20,0.177,12
rakyatnya,20,0.177,12
bangsa-bangsa,20,0.177,14
damai,20,0.177,13
dr,20,0.177,8
sasaran,20,0.177,10
hadi,20,0.177,20
pasal,20,0.177,6
kritik,20,0.177,7
duduk,20,0.177,13
tanggung,20,0.177,9
tingkat,20,0.177,8
keputusan,20,0.177,11
gimana,20,0.177,13
menutup,20,0.177,11
dilaksanakan,20,0.177,12
sedih,20,0.177,13
katanya,20,0.177,15
menilai,20,0.177,10
indah,20,0.177,5
informasi,20,0.177,10
perekonomian,20,0.177,11
gas,20,0.177,11
biar,20,0.177,10
kegiatan,19,0.1682,10
mereka-mereka,19,0.1682,13
krisis,19,0.1682,9
cerita,19,0.1682,11
berkembang,19,0.1682,9
amin,19,0.1682,9
mantan,19,0.1682,12
tokoh,19,0.1682,12
tamu,19,0.1682,14
tengah-tengah,19,0.1682,11
indrawijaya,19,0.1682,19
sambutan,19,0.1682,15
hadapi,19,0.1682,15
arti,19,0.1682,9
ilmu,19,0.1682,11
penerima,19,0.1682,8
desember,19,0.1682,11
penerimaan,19,0.1682,5
jujur,19,0.1682,15
perbedaan,19,0.1682,13
raya,19,0.1682,7
tahap,19,0.1682,6
jembatan,19,0.1682,9
motor,19,0.1682,5
muslimat,18,0.1593,5
dekat,18,0.1593,12
tepat,18,0.1593,8
agustus,18,0.1593,10
lah,18,0.1593,13
lingkungan,18,0.1593,13
niat,18,0.1593,10
diundang,18,0.1593,14
bantu,18,0.1593,12
mati,18,0.1593,7
cintai,18,0.1593,13
terbuka,18,0.1593,7
ketidakpastian,18,0.1593,14
global,18,0.1593,11
purnawirawan,18,0.1593,13
yusuf,18,0.1593,12
prajurit,18,0.1593,8
sains,18,0.1593,7
dibangun,18,0.1593,11
hal-hal,18,0.1593,13
bertekad,18,0.1593,13
dilantik,18,0.1593,11
sulit,18,0.1593,10
gerindra,18,0.1593,10
ilegal,18,0.1593,6
dinikmati,18,0.1593,13
menciptakan,18,0.1593,9
ikan,18,0.1593,7
kirim,18,0.1593,11
minggu,18,0.1593,10
urusan,18,0.1593,10
beli,18,0.1593,7
murah,18,0.1593,8
nkri,18,0.1593,10
layar,18,0.1593,5
upaya,18,0.1593,11
kelola,18,0.1593,12
sembada,18,0.1593,11
dianggap,18,0.1593,12
laksanakan,18,0.1593,12
ringan,18,0.1593,11
nadatul,18,0.1593,4
rancangan,18,0.1593,3
kenal,18,0.1593,6
lanjut,18,0.1593,11
collaps,18,0.1593,4
menguasai,17,0.1505,11
menentukan,17,0.1505,9
mengakui,17,0.1505,12
peran,17,0.1505,12
puluh,17,0.1505,11
kebenaran,17,0.1505,12
m,17,0.1505,9
aceh,17,0.1505,11
pemimpin-pemimpin,17,0.1505,11
hak,17,0.1505,9
siapapun,17,0.1505,14
setanah,17,0.1505,15
unggul,17,0.1505,9
ketiga,17,0.1505,12
penyelenggara,17,0.1505,16
pertamina,17,0.1505,7
menghormati,17,0.1505,10
maupun,17,0.1505,10
bencana,17,0.1505,11
tangga,17,0.1505,6
dirasakan,17,0.1505,8
memilih,17,0.1505,10
berat,17,0.1505,11
membuktikan,17,0.1505,9
makanan,17,0.1505,7
awal,17,0.1505,12
of,17,0.1505,8
pabrik,17,0.1505,9
maka,17,0.1505,7
dikasih,17,0.1505,10
hektar,17,0.1505,9
masalahnya,17,0.1505,11
guru-guru,17,0.1505,9
tak,17,0.1505,6
rugi,17,0.1505,9
laut,17,0.1505,11
ngerti,17,0.1505,8
kesatuan,17,0.1505,6
jepang,17,0.1505,12
selatan,17,0.1505,6
solar,17,0.1505,8
bayar,17,0.1505,10
pesawat,17,0.1505,7
bertanggung,17,0.1505,11
tambahan,17,0.1505,7
memastikan,17,0.1505,8
bbm,17,0.1505,12
mitra,17,0.1505,4
komunitas,17,0.1505,5
pkb,17,0.1505,1
belanja,17,0.1505,1
begini,16,0.1416,9
belah,16,0.1416,5
lahir,16,0.1416,10
buat,16,0.1416,13
menghemat,16,0.1416,9
you,16,0.1416,7
organisasi,16,0.1416,10
internasional,16,0.1416,6
merupakan,16,0.1416,10
hadapan,16,0.1416,9
memimpin,16,0.1416,12
engkau,16,0.1416,11
sebangsa,16,0.1416,14
pengabdian,16,0.1416,8
sungguh-sungguh,16,0.1416,9
rahmat,16,0.1416,12
prasetyo,16,0.1416,15
gizi,16,0.1416,10
minum,16,0.1416,13
penyampaian,16,0.1416,2
kesalahan,16,0.1416,9
proses,16,0.1416,8
fasilitas,16,0.1416,6
infrastruktur,16,0.1416,10
sby,16,0.1416,5
tua,16,0.1416,12
pakar,16,0.1416,12
kekuasaan,16,0.1416,5
janji,16,0.1416,9
hilang,16,0.1416,10
macam-macam,16,0.1416,11
kapal,16,0.1416,9
karno,16,0.1416,8
kenyataan,16,0.1416,14
serikat,16,0.1416,8
menarik,16,0.1416,7
garuda,16,0.1416,5
banget,16,0.1416,12
ahli,16,0.1416,10
tekad,16,0.1416,14
kemajuan,16,0.1416,13
mengatasi,16,0.1416,8
bukti,16,0.1416,12
kebetulan,16,0.1416,11
fisik,16,0.1416,10
tanam,16,0.1416,7
sebelumnya,16,0.1416,11
kualitas,16,0.1416,8
kayak,16,0.1416,7
kampung,16,0.1416,8
rapat,16,0.1416,6
kebangsaan,16,0.1416,10
sore,16,0.1416,10
mei,16,0.1416,8
mineral,16,0.1416,9
generasi,16,0.1416,9
barang,16,0.1416,5
juni,16,0.1416,7
tumbuh,16,0.1416,5
pengasuh,16,0.1416,5
institusi,16,0.1416,6
muktamar,16,0.1416,2
pengurus,15,0.1328,9
pecah,15,0.1328,5
adanya,15,0.1328,8
berangkat,15,0.1328,10
muncul,15,0.1328,9
kira-kira,15,0.1328,9
keberhasilan,15,0.1328,9
dipilih,15,0.1328,10
mendekati,15,0.1328,9
bersejarah,15,0.1328,11
sumatera,15,0.1328,7
nilai-nilai,15,0.1328,9
sikap,15,0.1328,9
bersama-sama,15,0.1328,10
wahid,15,0.1328,14
pertama-tama,15,0.1328,14
sebesar-besarnya,15,0.1328,13
turut,15,0.1328,7
ancaman,15,0.1328,6
and,15,0.1328,9
pbb,15,0.1328,6
tepuk,15,0.1328,7
makanya,15,0.1328,8
biaya,15,0.1328,8
desa-desa,15,0.1328,10
market,15,0.1328,4
jatuh,15,0.1328,8
titik,15,0.1328,9
menunggu,15,0.1328,7
membuka,15,0.1328,6
pengalaman,15,0.1328,11
bola,15,0.1328,9
berubah,15,0.1328,6
intinya,15,0.1328,12
bertanya,15,0.1328,9
belakang,15,0.1328,12
kewajiban,15,0.1328,7
hidupnya,15,0.1328,9
ujungnya,15,0.1328,11
tentu,15,0.1328,9
pariwisata,15,0.1328,5
hipmi,15,0.1328,3
kredit,15,0.1328,8
soal,15,0.1328,7
berikan,15,0.1328,9
prancis,15,0.1328,2
dokumen,15,0.1328,5
keuntungan,15,0.1328,5
nahdatul,15,0.1328,3
universitas,15,0.1328,7
bajingan,15,0.1328,3
nota,15,0.1328,1
hm,15,0.1328,1
