event_group,date,title,channel,url,token_count,duplicate_count,mbg_exact,mbg_full_phrase,mbg_signals,mbg_ambiguous
event-010,2026-06-28,🔴BREAKING NEWS - Pidato Presiden Prabowo Tutup Sarasehan Kebangsaan Konvensi Sainstek dan Industri,KOMPASTV,https://www.youtube.com/watch?v=7Zi5vqN_VC4,3303,1,0,0,0,0
event-033,2026-07-01,"FULL! Pidato Prabowo di HUT ke-80 Bhayangkara: Hukum Tak Boleh Tajam ke Bawah, Polri Lindungi Rakyat",KOMPASTV,https://www.youtube.com/watch?v=HBuj_rOU5yA,1822,3,1,0,2,0
event-037,2026-07-09,[FULL] Pidato Prabowo Luncurkan Biodiesel B50: Indonesia Jadi Negara Pertama Terapkan B50,KOMPASTV DEWATA,https://www.youtube.com/watch?v=xh-kV0Rm8K8,2541,2,0,0,0,0
event-013,2026-07-10,"Full Pidato Presiden Prabowo di Lombok, MBG KITA LANJUTKAN...!!! Oknum yang Nakal PERIKSA..!!",Tribun Lombok,https://www.youtube.com/watch?v=YYas7H5zORI,3129,2,7,0,7,0
event-064,2026-07-12,BREAKING NEWS Pidato Presiden Prabowo di Puncak Peringatan Hari Koperasi Nasional Ke-79,CNN Indonesia,https://www.youtube.com/watch?v=v-1YabkN-pM,3715,1,0,0,0,0
event-042,2026-07-16,"FULL! Pidato Prabowo Resmikan Groundbreaking LNG Abadi Masela, Indonesia Siap Jadi Negara Industri",KOMPASTV,https://www.youtube.com/watch?v=QAFNXg-LfTU,1575,0,0,0,0,0
event-031,2026-07-17,[FULL] Pidato Presiden Prabowo di Panen Raya Tebu Serentak di Malang,KOMPASTV,https://www.youtube.com/watch?v=yJglGGY8ADI,2617,1,0,0,0,0
event-036,2026-07-20,[FULL] Pidato Presiden Prabowo Di Sidang Kabinet Paripurna | Breaking News tvOne,tvOneNews ,https://www.youtube.com/watch?v=p7G73zBiow4,5868,1,2,0,3,0
event-009,2026-07-24,Pidato Prabowo di Harlah PKB,KOMPASTV,https://www.youtube.com/watch?v=vyp6JITYFM8,2730,1,0,0,0,1
event-032,2026-07-29,[FULL] Pidato Presiden Prabowo di Pelantikan Pamong Praja Muda IPDN 2026 | LIVE EVENT,METRO TV ,https://www.youtube.com/watch?v=IHY-7SvqxoI,1616,0,0,0,0,0
event-027,2026-07-30,[FULL] Pidato Prabowo di Akad Rumah Subsidi: Singgung Prestasi India-Soroti Sungai Penuh Sampah,KOMPASTV,https://www.youtube.com/watch?v=NmbVCeypyHE,2412,2,0,0,0,0
event-021,2026-07-30,[FULL] BREAKING NEWS - PIDATO PRESIDEN PRABOWO SAAT RESMIKAN REVITALISASI STASIUN SEMARANG TAWANG,METRO TV ,https://www.youtube.com/watch?v=YUONIE2ivHo,1414,0,0,0,0,0
event-046,2026-07-31,[Breaking News] Pidato Presiden Prabowo di Pertemuan dengan Kadin Se-Indonesia | tvOne,tvOneNews ,https://www.youtube.com/watch?v=_UEZyffi3YU,2501,0,0,0,1,0
event-026,2026-08-06,[FULL] Pidato Prabowo Depan 150 Peneliti BRIN Soroti Pendidikan di Indonesia hingga Timnas,KOMPASTV,https://www.youtube.com/watch?v=SjuGxdMRzPk,1185,0,0,0,0,0
event-043,2026-08-07,FULL! Pidato Prabowo di Peluncuran Buku Bahlil: Swasembada Pangan Hingga Danantara Naik 400%,KOMPASTV,https://www.youtube.com/watch?v=9rpZpKagShM,2315,0,0,0,0,0
event-023,2026-08-14,🔴BREAKING NEWS - Pidato Kenegaraan Presiden Prabowo di Sidang Tahunan MPR 2026,KOMPASTV JAWA TENGAH,https://www.youtube.com/watch?v=1-hEfAcRo4k,7900,6,4,0,5,0
event-015,2026-08-14,[FULL] Berapi-api! Pidato Presiden Prabowo Sampaikan RAPBN 2027 di Paripurna DPR,KOMPASTV,https://www.youtube.com/watch?v=sv1HMoSzRk4,5554,3,0,0,1,0
event-029,2026-08-25,[FULL] PIDATO PRABOWO RESMIKAN PLTS DI BALI: BERI BINTANG LAGI JIKA MASUK TARGET,METRO TV ,https://www.youtube.com/watch?v=UYdFSPfJZfk,1388,0,0,0,0,0
event-012,2026-08-29,Sambutan Presiden Republik Indonesia Prabowo Subianto | Muktamar ke-35  NU di Tambak Beras Jombang,KRAPYAK TV,https://www.youtube.com/watch?v=eddIEv78h3E,1700,3,1,0,1,0
event-030,2026-08-31,[FULL] Pidato Prabowo Tutup Muktamar NU: Umat Harus Hidup Layak dan Tidak Pinjam Uang dari Rentenir,MerdekaDotCom,https://www.youtube.com/watch?v=pikkD5C3swU,1520,4,0,0,0,0
event-044,2026-09-09,🔴BREAKING NEWS - PIDATO PRESIDEN PRABOWO DI PERINGATAN HUT 25 PARTAI DEMOKRAT (09/09),Seputar iNews RCTI,https://www.youtube.com/watch?v=8hj3tR4gCTc,3310,5,0,0,1,0
event-039,2026-09-09,[FUUL] Sambutan Presiden Prabowo Lepas Kontingen Indonesia ke Asian Games ke-20 Aichi Nagoya Jepang,Pangkep TV,https://www.youtube.com/watch?v=ZU_qK2nH89o,1573,1,0,0,0,0
